bytes,response_time,request_type_dummy,endpoint_dummy,is_error,os_Mac OS X,os_Windows,os_iOS,d_Mac,d_OnePlus ONEPLUS A6000,d_Other,d_iPhone,b_Chrome Mobile,b_Edge,b_Edge Mobile,b_Firefox,b_Firefox Mobile,b_Mobile Safari,b_Opera,b_Opera Mobile,b_Safari
4265,690.5202553895481,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5291,693.3678454603353,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5116,768.9326966809234,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5504,716.270132254572,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3816,395.25025651760984,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5172,796.8767682669087,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4563,318.18029916249117,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4219,577.075424021169,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5463,832.8691881648199,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5151,879.2044957507754,2,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2910,498.41145932231996,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4471,365.27776308107025,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4687,828.3797348504432,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4436,645.2144990893979,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5590,404.87799772798746,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4717,493.47027563228767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5596,405.1651289015576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5157,539.5744378898913,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5430,531.1941360962866,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4650,432.27169587329615,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5033,468.1660011292879,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6167,368.0001977747835,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4533,369.33540268190706,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5036,572.492060960774,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5039,642.0554811361579,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4235,430.5374275837501,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4483,401.55541594220216,2,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4898,683.0192640123593,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4173,568.4486717316354,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4810,541.4273326455992,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5036,757.9538037895026,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5076,375.34783887660353,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4471,355.3977381812466,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5102,592.415631298679,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4888,576.1352032049572,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4735,588.0762500229495,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4485,546.1819389753626,3,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5165,409.9158711908978,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5040,425.36457290128504,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5632,463.18023251492536,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5122,913.6012257709875,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4851,784.3153995445527,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5216,612.1686978156943,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5370,859.6485058488264,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4143,761.512185949319,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4393,322.6365123718274,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4463,284.00884025108076,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4935,540.9248760953817,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5234,685.5166072616584,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5180,552.8248570935028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5499,948.8032381441512,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4905,507.80473969890375,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4971,332.28851032688794,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5263,486.7267061546374,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6299,352.1313444710039,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5861,1274.09460756093,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5024,741.2642464055847,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5632,564.3693460457046,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4857,325.08254307143403,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4057,572.132444870338,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4269,444.515542648474,3,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5660,455.11618319754484,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4886,557.7945367416844,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5200,599.1516320414836,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5446,489.22213832590967,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4912,868.9618500806619,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4835,574.2280635375567,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4622,684.29236184782,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5442,498.9929760659235,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5162,426.71153615746886,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4439,494.13388307851045,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5510,866.757891354489,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4871,320.0447709089547,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4736,660.4737802759412,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4634,876.7231506484934,3,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5038,531.8304864674442,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3917,488.0620061362344,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5022,778.1913047185916,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4739,435.7067854539427,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4658,458.9960250659496,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5232,1006.9019513294628,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4004,549.8665765209333,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5825,1069.0606235006005,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6008,959.559129915797,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4997,450.3612212512317,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4610,1000.9781916468302,3,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4835,498.1763229745547,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5484,1054.8218526708777,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4158,1018.764933864664,3,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5884,709.1883923832146,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4628,260.6490818728555,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5393,377.41061528013597,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5884,1021.3817110060695,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4706,522.3881946518937,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5032,835.3092266300064,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4660,482.7533091980222,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4939,361.1296569266446,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4903,385.48055902502836,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4984,1006.6903020739555,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4431,744.8004197813789,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5172,867.9791221820869,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4960,358.5236452084164,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5367,454.417196608413,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5160,981.0246216161879,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5394,972.6128845828317,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4665,802.9271118379297,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5177,944.7662700972344,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5114,470.2250638451077,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5140,843.0024863485942,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4918,479.8038295763568,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5269,564.0025391311941,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4604,480.5527658776514,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4874,366.11576015166133,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4588,581.0485739303515,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4523,438.9559736948634,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4907,906.3138933970733,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5381,678.6664785622097,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5579,889.2879668581583,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4863,1004.9090678408968,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5200,384.8637717681909,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5249,827.0975329566136,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5291,723.8893938433398,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5453,504.47606618939983,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4215,94.75357020763143,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4869,439.88808847000286,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4496,490.3368384906229,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4534,485.55035819075647,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5198,858.1311875889567,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5298,522.0569617041504,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5812,583.4658354244264,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5670,542.6314397956573,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4788,234.1628951021625,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4603,445.1855374353572,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5150,442.89024261070097,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5098,530.5099838183214,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4825,609.9757155438381,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4717,924.0523142480407,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5043,450.22355429422385,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4709,864.6112220239247,1,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4958,344.2068656866435,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4822,253.26827317898832,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4631,757.1632516312047,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4367,884.062276350747,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5619,433.89896554415503,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5546,640.7010755628218,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4813,854.2547581035981,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4502,427.77037279104565,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4544,365.18224216838996,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5013,973.1994110190634,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4125,499.63521268283836,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4902,568.5195014865648,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5480,747.1938605768147,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5148,465.4339241970615,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5147,582.872280348425,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4614,661.445508478914,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5293,402.87581201945864,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5491,422.74711203184984,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4719,461.82919793958416,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4899,529.4469995163322,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5411,542.2103764674155,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5014,366.79524980511815,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5278,674.038769083,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4154,433.14653436698234,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4759,491.5190512455692,0,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4924,433.0445711388675,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4300,276.95253709825045,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4746,848.018063533452,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3828,541.2005941081511,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4982,488.59741281508195,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5836,428.75061653977616,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4829,408.13708677397346,1,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5272,625.6285985373332,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4911,716.1421768476945,3,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5184,272.77909038298924,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5400,739.724755600458,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4995,497.23118857152696,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5791,489.1678925149405,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5355,312.4205259386674,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5310,591.2778954138421,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5363,346.9035285870216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4971,357.0564155796354,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5387,388.17971096000304,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5485,842.4535745342057,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3784,454.2122330014014,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5096,518.2031577040613,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4645,788.8558206666826,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5796,825.6696674135835,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4997,428.41414865684385,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5135,407.379315187799,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4298,589.5781124610934,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5186,1014.9285191392179,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6199,680.6972615167405,3,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5583,474.0290279002862,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6039,552.6021077357585,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4376,523.2256154598017,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4696,714.2973460044668,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5500,386.65388728027324,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5197,419.5736571665748,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4558,627.9223253085484,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5466,512.4004433846953,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5342,492.03093492389553,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4607,615.555152148601,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4782,868.7926538555053,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5003,554.174724954538,3,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5538,891.1787747317903,2,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
